ORIGINAL,NORMALIZADOS
"@GiordanaLube Os mais usados são:Antipiréticos: para diminuir a temperatura e combater a febre;

Analgésicos: para aliviar as dores musculares por todo o corpo;

Antibióticos: para tratar possíveis infecções bacterianas que possam surgir junto com a COVID-19.","@GiordanaLube Os mais usados são: Antipiréticos: para diminuir a temperatura e combater a febre;

Analgésicos: para aliviar as dores musculares por todo o corpo;

Antibióticos: para tratar possíveis infecções bacterianas que possam surgir junto com a COVID"
"Hoje morreu um rapaz de um setor ao lado do meu. Mais uma vítima da Covid-19. Essa é a mensagem que a esposa postou pouco antes da morte dele no facebook. Me doeu demais! Isso é sério, gente. FIQUEM EM CASA. https://t.co/wzHMXb9gmw","Hoje morreu um rapaz de um setor ao lado do meu. Mais uma vítima da Covid-19. Essa é a mensagem que a esposa postou pouco antes da morte dele no facebook. Me doeu demais! Isso é sério, gente. FIQUEM EM CASA."
"@Rconstantino Depois do Covid-19, Lula Livre-22! É muita desgraça pra um país só! Vergonha!","@Rconstantino Depois do Covid-19, Lula Livre-22! É muita desgraça para um país só! Vergonha!"
RT @tah_viapiana : Mortes de idosos acima de 90 anos por Covid-19 caem 70% na cidade de SP em fevereiro. Especialistas falam em 'reflexo da vacinação'.  https://t.co/vpcgA9qS4H,RT @tah_viapiana: Mortes de idosos acima de 90 anos por Covid-19 caem 70% na cidade de SP em fevereiro. Especialistas falam em 'reflexo da vacinação'.
RT @plantao190 : Recebemos uma informações de um profissional da Saúde que todos hospitais de Curitiba fecharam as portas agora a noite para pacientes de Covid-19. No Hospital do Trabalhador há uma fila de ambulâncias aguardando para ver se conseguem alguma vaga.,RT @plantao190: Recebemos uma informação de um profissional da Saúde que todos hospitais de Curitiba fecharam as portas agora à noite para pacientes de Covid-19. No Hospital do Trabalhador há uma fila de ambulâncias aguardando para ver se conseguem alguma vaga.
"RT @CoronavirusBra1 : Vinte e cinco das 27 capitais do país estão com taxas de ocupação de leitos de UTI Covid-19 para adultos iguais ou superiores a 80%, sendo 15 delas superiores a 90%.","RT @CoronavirusBra1: Vinte e cinco das 27 capitais do país estão com taxas de ocupação de leitos de UTI Covid-19 para adultos iguais ou superiores a 80%, sendo 15 delas superiores a 90%."
"RT @fabioirodrigues : Quase 12.000 pessoas por Covid-19 em UTI no estado de SP, a cada 2 minutos entra uma pessoa em hospital buscando atendimento","RT @fabioirodrigues: Quase 12.000 pessoas por Covid-19 em UTI no estado de SP, a cada 2 minutos entra uma pessoa em hospital buscando atendimento"
"RT @UOL : Brasil bate recorde com 1.954 mortes por covid-19 em 24 horas 

Nesta terça-feira (9), o país teve o maior número de novas mortes causadas pela covid-19 em um intervalo de 24 horas: 1.954. Também foi registrado, pelo 11º dia consecutivo, o recorde na média de óbitos https://t.co/AzMcRijp2J","RT @UOL: Brasil bate recorde com 1.954 mortes por covid-19 em 24 horas.

Nesta terça-feira (9), o país teve o maior número de novas mortes causadas pela covid-19 em um intervalo de 24 horas: 1.954. Também foi registrado, pelo 11º dia consecutivo, o recorde na média de óbitos."
"RT @JovemPanNews : Uruguai enviará sobra de vacinas contra Covid-19 a cidades fronteiriças do Brasil.

https://t.co/O5e7aCgStK https://t.co/Hx8CdJPMzg",RT @JovemPanNews: Uruguai enviará sobra de vacinas contra Covid-19 a cidades fronteiriças do Brasil.
"RT @fabianogerber : Ivermectin is effective for COVID-19: real-time meta analysis of 44 studies - pra quem martela “ciência”, sem nunca sequer ter lido um artigo científico, pega e aproveita. E toma logo! https://t.co/1vGuELX0v6","RT @fabianogerber: Ivermectin is effective for COVID-19: real-time meta analysis of 44 studies - para quem martela “ciência”, sem nunca sequer ter lido um artigo científico, pega e aproveita. E toma logo!"
"Aliás. Mais uma aberração. Imagina em que outro lugar do Universo um Ministro da mais alta Corte do Judiciário tem que decidir a sério algo assim?

https://t.co/pAMtZid2fX",Aliás. Mais uma aberração. Imagina em que outro lugar do Universo um Ministro da mais alta Corte do Judiciário tem que decidir a sério algo assim?
"RT @conexaopolitica : Sob pena de multa, cidade paulista obriga pessoas com Covid-19 a usarem pulseiras de identificação https://t.co/fIOzbapWaj","RT @conexaopolitica: Sob pena de multa, cidade paulista obriga pessoas com Covid-19 a usarem pulseiras de identificação."
RT @reporterenato : URGENTE: Distrito Federal decreta estado de calamidade pública em razão do avanço da pandemia de covid-19. Sistema de saúde se aproxima do colapso e governo deve pedir ajuda da União.,RT @reporterenato: URGENTE: Distrito Federal decreta estado de calamidade pública em razão do avanço da pandemia de covid-19. Sistema de saúde se aproxima do colapso e governo deve pedir ajuda da União.
"RT @filgmartin : 1. Estamos encerrando agora nossa missão em Israel após uma intensa e bem-sucedida agenda, ao longo dos últimos três dias, com o governo israelense e com institutos de pesquisa que estão desenvolvendo medicamentos, vacinas e outras tecnologias para o enfrentamento da covid-19.","RT @filgmartin: 1. Estamos encerrando agora nossa missão em Israel após uma intensa e bem-sucedida agenda, ao longo dos últimos três dias, com o governo israelense e com institutos de pesquisa que estão desenvolvendo medicamentos, vacinas e outras tecnologias para o enfrentamento da covid-19."
"RT @Metropoles : @minsaude faz apelo à China por 30 milhões de doses da vacina Sinopharm.

Em carta enviada ao embaixador chinês no Brasil, pasta reconhece que a campanha de vacinação contra a Covid-19 pode parar por falta de doses https://t.co/S314SOsMmJ https://t.co/npq0oV4xdx","RT @Metropoles: @minsaude faz apelo à China por 30 milhões de doses da vacina Sinopharm.

Em carta enviada ao embaixador chinês no Brasil, pasta reconhece que a campanha de vacinação contra a Covid-19 pode parar por falta de doses."
"RT @ABeatriz_RO : Sprays lançados por esgoto a céu aberto contribuem para maior dispersão da COVID-19.

A pesquisa, realizada na favela Dona Marta/RJ, levanta o questionamento: até onde a desigualdade social contribui para a disseminação dessa doença?

Já dá o RT, like e vamos de #fioclimaticobr https://t.co/7ryiSmrl35","RT @ABeatriz_RO: Sprays lançados por esgoto a céu aberto contribuem para maior dispersão da COVID-19.

A pesquisa, realizada na favela Dona Marta/RJ, levanta o questionamento: até onde a desigualdade social contribui para a disseminação dessa doença?

Já dá o RT, like e vamos de #fioclimaticobr"
"RT @Medicina_CFM : As vacinas contra a #covid-19 foram aprovadas pela Anvisa e já estão em solo brasileiro. Tomar a vacina é uma ação individual, mas que ajuda a todos.

O recado do CFM é: vacine-se. Proteja a si mesmo e à sua família.

#CFM #vacina https://t.co/VeC5uiBBYb","RT @Medicina_CFM: As vacinas contra a #covid-19 foram aprovadas pela Anvisa e já estão em solo brasileiro. Tomar a vacina é uma ação individual, mas que ajuda a todos.

O recado do CFM é: vacine-se. Proteja a si mesmo e à sua família.

#CFM #vacina"
"Brasil tem recorde de mortes por covid-19 em 24 horas. Pandemia avança sem controle.
Foram 1.972 vítimas notificadas nesta terça (9). Já são 268.370 vidas perdidas desde o início da covid no Brasil, em março.
https://t.co/UtnHemNoDv
*
#BolsonaroGenocida","Brasil tem recorde de mortes por covid-19 em 24 horas. Pandemia avança sem controle.
Foram 1.972 vítimas notificadas nesta terça (9). Já são 268.370 vidas perdidas desde o início da covid no Brasil, em março.
#BolsonaroGenocida"
"RT @MidiaNINJA : NOVO RECORDE.
Brasil registra 70.764 novos casos e 1.972 mortes por covid-19 em 24h.","RT @MidiaNINJA: NOVO RECORDE.
Brasil registra 70.764 novos casos e 1.972 mortes por covid-19 em 24h."
"RT @barrapatrick : As prefeituras de Arroio dos Ratos, Barão do Triunfo, Butiá, Charqueadas, General Câmara, Minas do Leão e São Jerônimo realizaram reuniões nesta terça-feira (09) para avaliar os resultados das medidas mais restritivas decretadas para diminuir o avanço da COVID-19 na Carbonífera.","RT @barrapatrick: As prefeituras de Arroio dos Ratos, Barão do Triunfo, Butiá, Charqueadas, General Câmara, Minas do Leão e São Jerônimo realizaram reuniões nesta terça-feira (09) para avaliar os resultados das medidas mais restritivas decretadas para diminuir o avanço da COVID-19 na Carbonífera."
"RT @slpng_giants_pt : O Brasil bateu recorde hoje de 1972 mortes por Covid-19 e ainda continuam divulgando desinformação sobre o lockdown, tratamento precoce, máscara e a vacina. Toda vez que vocês virem esses conteúdos, denunciem, pois essas mentiras levaram muitas vidas e não podemos perder mais!✊🏽","RT @slpng_giants_pt: O Brasil bateu recorde hoje de 1972 mortes por Covid-19 e ainda continuam divulgando desinformação sobre o lockdown, tratamento precoce, máscara e a vacina. Toda vez que vocês virem esses conteúdos, denunciem, pois essas mentiras levaram muitas vidas e não podemos perder mais!"
"Meu psicológico anda muito abalado com essa onda do COVID-19;20;30;40
Tô ficando cansada, exausta e só preocupada com meu espiritual que também abalou, por dúvidar tanto q isso possa melhorar. 😔","Meu psicológico anda muito abalado com essa onda do COVID-19;
Tô ficando cansada, exausta e só preocupada com meu espiritual que também abalou, por duvidar tanto que isso possa melhorar."
"RT @Estadao : 25 das 27 capitais brasileiras têm ocupação das UTIs acima de 80%, segundo a Fiocruz; veja no mapa 👇 https://t.co/k5yPYGJ3AB https://t.co/0Atn3OTz9b","RT @Estadao: 25 das 27 capitais brasileiras têm ocupação das UTIs acima de 80%, segundo a Fiocruz; veja no mapa."
"RT @bollemdb : Prioridades para reduzir o risco de COVID-19 (em ordem, fio):

1. Máscara de boa qualidade e bem ajustada no rosto, sem aberturas. Pode também ser cirúrgica por baixo com de pano por cima -- sempre bem ajustadas.

2. Ar livre! Ou locais com ventilação (janelas sempre abertas).

+","RT @bollemdb: Prioridades para reduzir o risco de COVID-19 (em ordem, fio):

1. Máscara de boa qualidade e bem ajustada no rosto, sem aberturas. Pode também ser cirúrgica por baixo com de pano por cima -- sempre bem ajustadas.

2. Ar livre! Ou locais com ventilação (janelas sempre abertas)."
Eu tava vendo uma noticia q a Rosa Weber tinha negado um pedido pra uso de cocaína no tratamento da Covid-19 kskskksksksksklslslslls 🤔🤔,Eu estava vendo uma notícia que a Rosa Weber tinha negado um pedido para uso de cocaína no tratamento da Covid-19.
RT @delucca : Um a cada quatro mortos por Covid-19 no mundo nas últimas 24 horas é brasileiro.,RT @delucca: Um a cada quatro mortos por Covid-19 no mundo nas últimas 24 horas é brasileiro.
"RT @soueukaique : Se no primeiro turno vc da esquerda tem Ciro e/ou Marina mas escolhe Lula, vc apoia o mensalão e o petrolão, se no primeiro turno vc da direita tem o Moro e/ou Amoedo e escolhe Bolsonaro, vc apoia o descaso com as vitimas da Covid-19 e apoia os 89 mil na conta da Michele! PONTO.","RT @soueukaique: Se no primeiro turno você da esquerda tem Ciro e/ou Marina mas escolhe Lula, você apoia o mensalão e o petrolão, se no primeiro turno você da direita tem o Moro e/ou Amoedo e escolhe Bolsonaro, você apoia o descaso com as vítimas da Covid-19 e apoia os 89 mil na conta da Michele! PONTO."
"RT @reportersalles : O presidente da Câmara dos deputados, @ArthurLira_ pediu ajuda da China, berço do coronavírus, para conter a COVID-19 no Brasil. Na carta, Lira pede que os comunistas tenham um olhar humano e solidário sobre o Brasil e afirma que a ajuda irá fortalecer os laços entre os países. https://t.co/mgYm26GUpQ","RT @reportersalles: O presidente da Câmara dos deputados, @ArthurLira_ pediu ajuda da China, berço do coronavírus, para conter a COVID-19 no Brasil. Na carta, Lira pede que os comunistas tenham um olhar humano e solidário sobre o Brasil e afirma que a ajuda irá fortalecer os laços entre os países."
"RT @B_Manfredini : O Brasil bateu - de novo - o recorde diário de mortes por Covid-19 com 1.972 novos óbitos registrados nas últimas 24h.

Enquanto isso, a Fiocruz divulga um alerta: lotação de UTIs deixa 19 estados e o DF em “alerta crítico”; 13 tem mais de 90% de ocupação","RT @B_Manfredini : O Brasil bateu - de novo - o recorde diário de mortes por Covid-19 com 1.972 novos óbitos registrados nas últimas 24h.

Enquanto isso, a Fiocruz divulga um alerta: lotação de UTIs deixa 19 estados e o DF em “alerta crítico”; 13 tem mais de 90% de ocupação"
"RT @surian : Igrejas ""apartidárias""

Racismo: 😴
Covid 19: 😴
Abuso de mulheres: 😴
Corrupção: 😴
Lula elegível: Vamos orar pelo Brasil

PS. Não tô nem aí pro Lula, mas essa partidarização das igrejas me dá nos nervos..","Hoje, mais de um brasileiro morreu por MINUTO pela COVID-19! Fruto de um governo irresponsável e genocida. Não aguentamos mais!"
Covid-19: México com 866 mortes e 7.407 novos casos em 24 horas https://t.co/MJWvdp0760,Covid-19: México com 866 mortes e 7.407 novos casos em 24 horas
"RT @UOL : Com 517 mortes, SP tem recorde de óbitos por covid-19 em 24 h https://t.co/DKrS7M6Z4R","RT @UOL: Com 517 mortes, SP tem recorde de óbitos por covid-19 em 24 h"
"Lamentável, a maneira truculenta como esse veículo de comunicação dá o n* de mortes diária por covid-19 no Brasil. Fazendo um monte de trapalhada, para colocar o Brasil na frente dos EUA. Por quê essa deslealdade?","Lamentável, a maneira truculenta como esse veículo de comunicação dá o número de mortes diárias por covid-19 no Brasil. Fazendo um monte de trapalhada, para colocar o Brasil na frente dos EUA. Por que essa deslealdade?"
"RT @CNNBrasil : BREAKING NEWS

1.972 pessoas morreram pela Covid-19 nas últimas 24 horas, maior registro da pandemia https://t.co/hXFb44tP6u","RT @CNNBrasil: BREAKING NEWS

1.972 pessoas morreram pela Covid-19 nas últimas 24 horas, maior registro da pandemia."
"@fannypricenew O hospital moinhos de vento em  Porto Alegre,  já prevendo o caos, providenciou um container  refrigerado para os corpos das vítimas da covid-19.","@fannypricenew: O hospital moinhos de vento em Porto Alegre, já prevendo o caos, providenciou um container refrigerado para os corpos das vítimas da covid-19."
"RT @slpng_giants_pt : 1972: RECORDE DE MORTES POR COVID-19 NAS ÚLTIMAS 24 HORAS

E no mesmo dia o Terça Livre debocha das mortes ao compartilhar um falso tratamento precoce. @YouTubeBrasil, vamos parar de lucrar com esse tipo de conteúdo odioso e fraudulento? Pfv desmonetize!✊🏽#SleepingGiantsBrasil https://t.co/ikHucYlhMq","RT @slpng_giants_pt: 1972: RECORDE DE MORTES POR COVID-19 NAS ÚLTIMAS 24 HORAS

E no mesmo dia o Terça Livre debocha das mortes ao compartilhar um falso tratamento precoce. @YouTubeBrasil, vamos parar de lucrar com esse tipo de conteúdo odioso e fraudulento? Por favor desmonetize! #SleepingGiantsBrasil"
"RT @bollemdb : Prioridades para reduzir o risco de COVID-19 (em ordem, fio):

1. Máscara de boa qualidade e bem ajustada no rosto, sem aberturas. Pode também ser cirúrgica por baixo com de pano por cima -- sempre bem ajustadas.

2. Ar livre! Ou locais com ventilação (janelas sempre abertas).

+","@yurimourarj: Tenho recebido centenas de mensagens pela nossa atuação na sessão de ontem na Câmara. Inclusive, de profissionais da saúde e ciência. Muitos querem ajudar no esclarecimento à população sobre o falso tratamento precoce pra Covid-19. Muito bonita a reação de todos vocês. Obrigado!"
"Eu recebi uma péssima. Meu netinho d 11anos, q é americano e mora em San Diego, positivou pra covid-19. 
Ele está bem, mas estou preocupada, pois além dos pais, tem 2 irmãos. Estou aguardando notícias pelo meu filho. https://t.co/9n0RRfJkHl","Eu recebi uma péssima notícia. Meu netinho de 11 anos, que é americano e mora em San Diego, positivou pra covid-19.
Ele está bem, mas estou preocupada, pois além dos pais, tem 2 irmãos. Estou aguardando notícias pelo meu filho."
"RT @EduGiraoOficial : O @SenadoFederal aprovou, na sessão remota de hoje, um requerimento de nossa autoria, apoiado por outros senadores, que prevê a realização de uma sessão de debate para tratar do tratamento preventivo/precoce da covid-19 com diversos especialistas.  https://t.co/lR4OFpR0BU","RT @EduGiraoOficial: O @SenadoFederal aprovou, na sessão remota de hoje, um requerimento de nossa autoria, apoiado por outros senadores, que prevê a realização de uma sessão de debate para tratar do tratamento preventivo/precoce da covid-19 com diversos especialistas."
"Sempre ouvi nos noticiários que os hospitais não tinham leitos disponíveis.
Logo, esse não é um problema causado pela pandemia do COVID-19 e sim pela má  gestão dos recursos públicos.
Vide o Gov. de SP, prorrogou contrato de publicidadadede 90M em plena pandemia.
 @jdoriajr https://t.co/55Oq6yscsm","Sempre ouvi nos noticiários que os hospitais não tinham leitos disponíveis.
Logo, esse não é um problema causado pela pandemia do COVID-19 e sim pela má gestão dos recursos públicos.
Vide o Governo de SP, prorrogou contrato de publicidade 90M em plena pandemia.
 @jdoriajr"
RT @avozdocerrado_ : O Brasil registrou 1.954 mortes em 24 horas por COVID-19. Infelizmente um novo recorde.,RT @avozdocerrado_ : O Brasil registrou 1.954 mortes em 24 horas por COVID-19. Infelizmente um novo recorde.
"RT @flferronato : @portalR7 Vocês da imprensa precisam combinar as versões!!

https://t.co/ORJFidyEha",RT @flferronato: @portalR7 Vocês da imprensa precisam combinar as versões!
"Nunes Marques, que pediu vista no julgamento de Moro, está em SP cuidando dos pais, diagnosticados com Covid-19 https://t.co/2K4JAnafYJ","Nunes Marques, que pediu vista no julgamento de Moro, está em SP cuidando dos pais, diagnosticados com Covid-19."
"RT @GeanLoureiro : TRÍPLICE VIRAL: reunião hj com professores da nossa UFSC Edison e Juliana, q estão à frente da pesquisa sobre os efeitos da Tríplice viral contra a COVID-19. Os resultados são animadores e nossa equipe técnica está analisando a pesquisa. Há possibilidade real de usarmos. Segue 👇 https://t.co/rPyxcnCBRW","RT @GeanLoureiro: TRÍPLICE VIRAL: reunião hoje com professores da nossa UFSC Edison e Juliana, que estão à frente da pesquisa sobre os efeitos da Tríplice viral contra a COVID-19. Os resultados são animadores e nossa equipe técnica está analisando a pesquisa. Há possibilidade real de usarmos."
RT @rafaelvelame : Feira de Santana registrou mais 228 casos e cinco mortes por COVID-19 nesta terça-feira (09).,RT @rafaelvelame: Feira de Santana registrou mais 228 casos e cinco mortes por COVID-19 nesta terça-feira (09).
"RT @Ale_Lozetti : Aloprados negacionistas viajam para Israel planejando voltar com um spray mágico para curar a COVID-19, e ouvem dos próprios desenvolvedores que a única solução é vacinar a população. É desmoralizante, humilhante e merecido. https://t.co/SwCz4IW26r","RT @Ale_Lozetti: Aloprados negacionistas viajam para Israel planejando voltar com um spray mágico para curar a COVID-19, e ouvem dos próprios desenvolvedores que a única solução é vacinar a população. É desmoralizante, humilhante e merecido."
Prefeitura de Campos limita horário de funcionamento de bares e restaurantes. A medida acontece após o aumento no número de casos de Covid-19. #Cidade #BandNewsFM https://t.co/7uuy0QHrfi,A prefeitura de Campos limita horário de funcionamento de bares e restaurantes. A medida acontece após o aumento no número de casos de Covid-19. #Cidade #BandNewsFM
"RT @DiarioPE : Olinda inicia cadastro para vacinar idosos a partir de 76 anos contra Covid-19
https://t.co/2hMMReVxfp",RT @DiarioPE: Olinda inicia cadastro para vacinar idosos a partir de 76 anos contra Covid-19.
"RT @cartacapital : Novo recorde: Brasil tem 1.972 mortes por Covid-19 em 24h 
https://t.co/Gqdbutq16o",RT @cartacapital: Novo recorde: Brasil tem 1.972 mortes por Covid-19 em 24h.
RT @Estadao : URGENTE: Brasil registra 1.954 mortes por covid-19 em 24 horas e bate novo recorde https://t.co/M5TnADDgOR https://t.co/SytX6uO6tW,RT @Estadao: URGENTE: Brasil registra 1.954 mortes por covid-19 em 24 horas e bate novo recorde.
RT @GloboNews : Brasil bate novo recorde e registra 1.954 mortes por Covid-19 nas últimas 24 horas. O país também bateu recorde na média móvel de mortos pelo 11º dia seguido e registrou 1.572 óbitos em média: https://t.co/q0doYLIm5k #GloboNews #EmPauta https://t.co/6TdcB1sY1X,RT @GloboNews : Brasil bate novo recorde e registra 1.954 mortes por Covid-19 nas últimas 24 horas. O país também bateu recorde na média móvel de mortos pelo 11º dia seguido e registrou 1.572 óbitos em média.
@gomesnilson 2 semanas que perdi meu sogro ora COVID 19. 53 ANOS.,@gomesnilson 2 semanas que perdi meu sogro por COVID 19. 53 ANOS.
